User, Ticket, Information
mdouglas, 4217, ticky: INFO Created ticket 
noel, 1754, ticky: INFO Closed ticket 
blossom, 4709, ticky: INFO Commented on ticket 
rr.robinson, 6518, ticky: INFO Commented on ticket 
breee, 1097, ticky: INFO Commented on ticket 
noel, 7115, ticky: INFO Created ticket 
nonummy, 2253, ticky: INFO Commented on ticket 
ahmed.miller, 7298, ticky: INFO Created ticket 
oren, 7255, ticky: INFO Commented on ticket 
britanni, 1712, ticky: INFO Closed ticket 
mcintosh, 2860, ticky: INFO Created ticket 
mdouglas, 8385, ticky: INFO Commented on ticket 
jackowens, 2452, ticky: INFO Closed ticket 
ac, 4562, ticky: INFO Commented on ticket 
kirknixon, 7897, ticky: INFO Created ticket 
sri, 5784, ticky: INFO Created ticket 
rr.robinson, 8685, ticky: INFO Closed ticket 
noel, 4225, ticky: INFO Commented on ticket 
noel, 7948, ticky: INFO Closed ticket 
noel, 8628, ticky: INFO Commented on ticket 
enim.non, 7333, ticky: INFO Closed ticket 
noel, 1653, ticky: INFO Commented on ticket 
ac, 5455, ticky: INFO Created ticket 
mcintosh, 3813, ticky: INFO Commented on ticket 
mcintosh, 8604, ticky: INFO Closed ticket 
enim.non, 6361, ticky: INFO Created ticket 
ahmed.miller, 7159, ticky: INFO Commented on ticket 
nonummy, 7737, ticky: INFO Created ticket 
oren, 4372, ticky: INFO Closed ticket 
sri, 2389, ticky: INFO Commented on ticket 
kirknixon, 3297, ticky: INFO Closed ticket 
jackowens, 2461, ticky: INFO Created ticket 
blossom, 9876, ticky: INFO Closed ticket 
mcintosh, 5896, ticky: INFO Created ticket 
